,,Author,"Author Description",Date,Rating,"Helpful count",Review,"Picture included",Language,"Message Original","Language code","Reviewer Data","Profile Url","Review Url",Photos,"Message Translated"
1,,"Yusuf Karolia",,"2026-08-19 17:16:23",5,0,,no,,,,,https://www.google.com/maps/contrib/107815651541800842586?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201cWNHVjZlbkJPYUhVeWFWRjBRVUkyVTNabGVXYxAB!2m1!1s0x0:0x5b339529fb989320!3m1!1s2@1:CAIQACodChtycF9oOm5qcGV6enBOaHUyaVF0QUI2U3ZleWc%7C%7C?hl=en,,
2,,"Laaiqah Ginden","1 review","2026-08-20 14:08:38",5,0,"Excellent customer service and reasonable prices",no,,"Excellent customer service and reasonable prices",,"1 review",https://www.google.com/maps/contrib/107449886614217742365?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25wNFVUWlpWVzlPZW5KdFNrSjBhRU5uT1ZkUU5sRRAB!2m1!1s0x0:0x5b339529fb989320!3m1!1s2@1:CAIQACodChtycF9oOnp4UTZZVW9OenJtSkJ0aENnOVdQNlE%7C%7C?hl=en,,
3,,"Aman Ali","7 reviews","2026-08-21 07:50:15",5,0,"This place is amazing with a great collection and the staff are very friendly and eager to help. 100% would recommend",no,,"This place is amazing with a great collection and the staff are very friendly and eager to help. 100% would recommend",,"7 reviews",https://www.google.com/maps/contrib/114254699911394944423?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25kVE16TlBSV2N0Y1dOcFJsUmtiMjVNWkRKNmIzYxAB!2m1!1s0x0:0x5b339529fb989320!3m1!1s2@1:CAIQACodChtycF9oOndTMzNPRWctcWNpRlRkb25MZDJ6b3c%7C%7C?hl=en,,
4,,"Hammaad Munshi","3 reviews","2026-08-21 20:10:13",5,0,"Great place and wonderful customer service would highly recommend this place 5☆",no,,"Great place and wonderful customer service would highly recommend this place 5☆",,"3 reviews",https://www.google.com/maps/contrib/113185225404611244829?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21KcVlqVXhhemhDVGxvMFlUY3pNV3h4WTFGRFJGRRAB!2m1!1s0x0:0x5b339529fb989320!3m1!1s2@1:CAIQACodChtycF9oOmJqYjUxazhCTlo0YTczMWxxY1FDRFE%7C%7C?hl=en,,
5,,"Faizaan Akhalwaya","2 reviews","2026-08-22 08:20:56",5,0,"Good pricing
Good option",no,,"Good pricing
Good option",,"2 reviews",https://www.google.com/maps/contrib/100455034906409660632?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25vdE0xaGlTVXREUmt4UVNVOVpUakp2UkROMFFuYxAB!2m1!1s0x0:0x5b339529fb989320!3m1!1s2@1:CAIQACodChtycF9oOnotM1hiSUtDRkxQSU9ZTjJvRDN0Qnc%7C%7C?hl=en,,
6,,"Riyaadh Razak","7 reviews","2026-08-23 14:25:41",5,0,,no,,,,"7 reviews",https://www.google.com/maps/contrib/102018758055368724788?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21oNWVra3lORFp0VnpZMmFscDVMVUZWYTNSc1RHYxAB!2m1!1s0x0:0x5b339529fb989320!3m1!1s2@1:CAIQACodChtycF9oOmh5ekkyNDZtVzY2alp5LUFVa3RsTGc%7C%7C?hl=en,,
7,,"Muhammed Rasool",,"2026-08-29 11:58:22",5,0,,no,,,,,https://www.google.com/maps/contrib/103448514195780273928?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xOMFFVUTRNVXBLZDJKWk4xOVlXakZMUm5sd2FWRRAB!2m1!1s0x0:0x5b339529fb989320!3m1!1s2@1:CAIQACodChtycF9oOlN0QUQ4MUpKd2JZN19YWjFLRnlwaVE%7C%7C?hl=en,,
8,,"Uwais Salie","1 review","2026-08-30 10:56:25",5,0,"Excellent customer service 👏
Friendly staff always willing to go the extra mile to make your vaping experience enjoyable 😉",no,,"Excellent customer service 👏
Friendly staff always willing to go the extra mile to make your vaping experience enjoyable 😉",,"1 review",https://www.google.com/maps/contrib/111021348485729183080?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21KMGNrRjZkMmxLVFdGUWRGTjVVbTlsTjB0V2JYYxAB!2m1!1s0x0:0x5b339529fb989320!3m1!1s2@1:CAIQACodChtycF9oOmJ0ckF6d2lKTWFQdFN5Um9lN0tWbXc%7C%7C?hl=en,,
9,,"AK .b","2 reviews","2026-09-01 14:12:54",5,0,"Excellent service and friendly staff",no,,"Excellent service and friendly staff",,"2 reviews",https://www.google.com/maps/contrib/118333708187898410719?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s1Q2VFNW1PVkZSV2pkUVJHbEVNRjgzYjI1MVQxRRAB!2m1!1s0x0:0x5b339529fb989320!3m1!1s2@1:CAIQACodChtycF9oOk5CeE5mOVFRWjdQRGlEMF83b251T1E%7C%7C?hl=en,,
10,,"Asger Mia",,"2026-09-07 15:25:23",5,0,"Good service
Good pricing",no,,"Good service
Good pricing",,,https://www.google.com/maps/contrib/109692778755957228201?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pNMWN6RXplVE5TZVZodWFITnNWRWxPVFhKSWNHYxAB!2m1!1s0x0:0x5b339529fb989320!3m1!1s2@1:CAIQACodChtycF9oOjM1czEzeTNSeVhuaHNsVElOTXJIcGc%7C%7C?hl=en,,
